Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
ADVICS NORTH AMERICA,,,3000,Motor Vehicle Manufacturing,,188200000,http://www.advics-na.com
AERO METALS INC.,,,69,"Agriculture, Construction, Mining Machinery Manufacturing",,45000000,aerometals.com
AEROSTAR (AEROSTAR INTERNATIONAL LLC),,,170,Defense and Space Manufacturing,,25000000,aerostar.com
AEROSTAR MANUFACTURING,,Michigan,60,mining & metals,,27300000,aerostarmfg.com
AEROTECH,,,350,Automation Machinery Manufacturing,,117800000,http://www.aerotech.com
AFC INDUSTRIES,,,190,logistics & supply chain,,400000000,http://www.afcind.com
AFC-HOLCROFT,,Michigan,85,machinery,,36500000,afc-holcroft.com
AGI,,,350,Defense and Space Manufacturing,,58000000,https://www.agi.com
AGRA INDUSTRIES,,Wisconsin,190,Construction,,184600000,agraind.com
AH GROUP OF COMPANIES,,Michigan,500,machinery,,44500000,ahgroupna.com
AHAUS TOOL & ENGINEERING,,Indiana,60,machinery,,27200000,ahaus.com
AHRESTY WILMINGTON,,,750,Motor Vehicle Manufacturing,,63300000,http://www.ahresty.com/
AIDA-AMERICA,,,350,Machinery Manufacturing,,40300000,http://www.aida-america.com
AIR HYDRO POWER,,Kentucky,170,Industrial Automation,,100000000,airhydropower.com
AIRLINE HYDRAULICS,,,350,Industrial Automation,,30000000,https://www.airlinehyd.com/
AIRSTREAM,,,750,Motor Vehicle Manufacturing,,375000000,http://www.airstream.com
AIR-WAY GLOBAL MANUFACTURING COMPANY,,Michigan,91,Construction,,190100000,air-way.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,,274100000,ajaxpaving.com
AKKERMAN - UNDERGROUND CONSTRUCTION EQUIPMENT MANUFACTURER,,Minnesota,54,machinery,,25000000,akkerman.com
AKROCHEM,,,125,Chemical Manufacturing,,38700000,http://www.akrochem.com
AKRO-MILS,,,350,Plastics Manufacturing,,50000000,http://www.akro-mils.com
ALABAMA OUTDOORS,,,61,Retail,,33915000,http://www.alabamaoutdoors.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,,155300000,alexandriaindustries.com
ALKON,,,125,Machinery Manufacturing,,45000000,http://www.alkoncorp.com
ALL FLORIDA PAPER,,,88,logistics & supply chain,,30132000,http://www.allfloridapaper.com
ALLEGHENY BRADFORD CORPORATION,,Pennsylvania,93,machinery,,37500000,alleghenybradford.com
ALLEGIS CORPORATION,,,97,Mechanical Or Industrial Engineering,,228900000,allegiscorp.com
ALL-FILL,,Pennsylvania,93,Packaging & Containers,,25000000,all-fill.com
ALLIANCE PHARMA,,,350,Pharmaceutical Manufacturing,,32000000,http://www.alliancepharmaco.com/
ALLIANT POWER,,Wisconsin,88,Automotive,,34600000,alliantpower.com
"ALLIANT TECHNOLOGIES, LLC",,,73,Automation Machinery Manufacturing,,39761000,alliantechnologies.com
ALLIED MACHINE & ENGINEERING,,,350,Machinery Manufacturing,,93800000,http://www.alliedmachine.com
ALLIED MOULDED PRODUCTS,,,180,electrical/electronic manufacturing,,40000000,http://www.alliedmoulded.com
"ALLIED PLASTICS, LLC",,,350,Plastics Manufacturing,,45100000,http://www.alliedplastics.com
ALLIED WIRE & CABLE,,,200,electrical/electronic manufacturing,,75000000,http://www.awcwire.com
ALPHA IMAGING,,,125,Medical Equipment Manufacturing,,98900000,http://www.alpha-imaging.com
ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,,62000000,alphasourcegroup.com
"ALPHA SOURCE, INC.",,,350,Medical Equipment Manufacturing,,39100000,http://www.alphasource.com
ALTERED STATE,,,1600,Retail,,250000000,http://www.altardstate.com
ALTRON AUTOMATION,,,88,Industrial Machinery Manufacturing,,64684000,altronautomation.com
AM GENERAL,,Indiana,960,Defense & Space,,230000000,amgeneral.com
AMBE ENGINEERING LLC,,Michigan,110,Automotive,,42200000,ambeeng.com
AMERCAREROYAL,,,750,Manufacturing,,450000000,https://amercareroyal.com/
AMEREX,,,240,Business Supplies & Equipment,,82400000,http://www.amerex-fire.com
AMERHART LTD,,,350,Building Materials,,65500000,http://www.amerhart.com
AMERICAN BATTERY SOLUTIONS,,,125,"Appliances, Electrical, and Electronics Manufacturing",,59800000,http://www.americanbatterysolutions.com
AMERICAN BATTERY SOLUTIONS INC.,,,140,"Appliances, Electrical, and Electronics Manufacturing",,59800000,americanbatterysolutions.com
AMERICAN CRANE AND EQUIPMENT,,,125,Machinery Manufacturing,,31900000,http://www.americancrane.com
AMERICAN EAGLE PAPER MILLS,,,350,Paper and Forest Product Manufacturing,,40000000,http://www.aepaper.com
AMERICAN EXPEDITION VEHICLES,,Michigan,69,Automotive,,25000000,aev-conversions.com
"AMERICAN FREIGHT FURNITURE, MATTRESS, APPLIANCE",,,3000,Furniture and Home Furnishings Manufacturing,,292300000,https://www.americanfreight.com/
AMERICAN GIRL,,,3000,Manufacturing,,231500000,http://www.americangirl.com
AMERICAN HEALTH PACKAGING,,,350,Pharmaceutical Manufacturing,,40000000,http://www.americanhealthpackaging.com/
AMERICAN LICORICE COMPANY,,Indiana,270,Mechanical Or Industrial Engineering,,260000000,americanlicorice.com
AMERICAN ORTHODONTICS,,,750,Medical Equipment Manufacturing,,85000000,http://www.americanortho.com
AMERICAN PACKAGING CORPORATION,,,3000,Packaging and Containers Manufacturing,,450000000,http://www.americanpackaging.com
"AMERICAN PHOENIX, INC.",,,750,Chemical Manufacturing,,77700000,http://www.apimix.net
AMERICAN TEXTILE,,,3000,Textile Manufacturing,,217300000,http://www.americantextile.com
AMERICAN TIME,,Minnesota,89,electrical/electronic manufacturing,,25000000,american-time.com
AMERICAN TRIM,,,750,Manufacturing,,250000000,http://www.amtrim.com
AMERICAN WIRE GROUP,,,64,electrical/electronic manufacturing,,150000000,http://www.buyawg.com
AMERICHEM,,,750,Plastics Manufacturing,,350000000,http://www.americhem.com
AMETEK ENGINEERED MEDICAL COMPONENTS (EMC),,Minnesota,86,medical devices,,28600000,ametekemc.com
AMETEK SOLIDSTATE CONTROLS,,,110,electrical/electronic manufacturing,,30000000,http://www.solidstatecontrolsinc.com
AMPHENOL BORISCH,,,125,Defense and Space Manufacturing,,50000000,http://www.borisch.com
AMPHENOL BORISCH TECHNOLOGIES,,Michigan,250,Defense & Space,,50000000,borisch.com
AMX,,,150,logistics & supply chain,,45046000,http://www.amxtrucking.com
ANCHOR HOCKING,,,450,Consumer Goods,,300000000,http://www.anchorhocking.com
ANCHOR MANUFACTURING GROUP,,,350,Motor Vehicle Manufacturing,,54800000,http://www.anchor-mfg.com
ANCILLARE,,,125,Pharmaceutical Manufacturing,,59000000,http://www.ancillare.com
ANDERSON DEVELOPMENT,,,125,Chemical Manufacturing,,50000000,http://www.andersondevelopment.com
ANDERSON DEVELOPMENT COMPANY,,,94,Chemical Manufacturing,,50000000,andersondevelopment.com
ANDIS COMPANY,,,750,Manufacturing,,108600000,http://www.andis.com
ANDROID INDUSTRIES,,Michigan,1600,Automotive,,44354000,android-ind.com
"ANGI ENERGY SYSTEMS, LLC",,,350,Industrial Machinery Manufacturing,,61300000,http://www.angienergy.com
ANGSTROM,,,125,Automotive,,53700000,http://www.angstrom-usa.com
ANOMATIC,,,750,Packaging and Containers Manufacturing,,75000000,http://www.anomatic.com/
APA SOLAR RACKING,,,125,Renewable Energy Semiconductor Manufacturing,,55400000,http://www.apasolar.com
APACHE STAINLESS EQUIPMENT CORPORATION AND MEPACO,,,125,Industrial Machinery Manufacturing,,34900000,http://www.apachestainless.com
"APEX INTERNATIONAL MFG, INC.",,,150,Mechanical Or Industrial Engineering,,63800000,trustapexinternational.com
APOLLO RETAIL SPECIALISTS,,,1100,Retail,,135000000,http://www.apolloretail.com
APPLIED MEDICAL TECHNOLOGY,,,350,Medical Equipment Manufacturing,,39000000,http://www.appliedmedical.net
APPVION,,Wisconsin,660,paper & forest products,,246600000,appvion.com
APRECIA PHARMACEUTICALS,,,125,Pharmaceutical Manufacturing,,30500000,https://www.aprecia.com
APRILAIRE,,Wisconsin,420,Mechanical Or Industrial Engineering,,54700000,aprilaire.com
ARANDELL,,,750,Printing Services,,103000000,https://www.arandell.com
ARISTO INDUSTRIES,,Michigan,71,Packaging & Containers,,121300000,aristoind.com
ARKRAY USA,,,154,medical devices,,40700000,arkrayusa.com
ARLINGTON INDUSTRIES,,,79,"Appliances, Electrical, and Electronics Manufacturing",,208400000,aifittings.com
ARROW INTERNATIONAL,,,3000,Manufacturing,,80000000,http://www.arrowinternational.com
ARROW PACKAGING SOLUTIONS / ARROW CONTAINER,,Indiana,91,Packaging & Containers,,35600000,arrowpackagingsolutions.com
ARROW TANK AND ENGINEERING CO.,,,55,machinery,,25996000,arrowtank.com
ARROWHEAD ENGINEERED PRODUCTS,,Minnesota,1100,Automotive,,150000000,arrowheadepinc.com
ARTEZA,,,120,Retail,,55000000,http://www.arteza.com
ARTIFLEX MANUFACTURING,,,750,Motor Vehicle Manufacturing,,250500000,http://www.artiflexmfg.com/
ARVCO CONTAINER CORP.,,Michigan,97,Packaging & Containers,,26400000,arvco.com
ASAHI KASEI PLASTICS,,,350,Plastics Manufacturing,,188400000,http://www.akplastics.com
ASCEND,,,410,logistics & supply chain,,75000000,http://www.driveforascend.com
ASCENT AEROSPACE,,,750,Aviation and Aerospace Component Manufacturing,,290000000,http://www.ascentaerospace.com
ASHLEY WARD,,,350,Manufacturing,,42100000,http://www.ashleyward.com
ASPEN SURGICAL,,,3000,Medical Equipment Manufacturing,,120000000,http://www.aspensurgical.com/
ASPHALT MATERIALS,,Indiana,160,Construction,,497600000,asphalt-materials.com
ASSOCIATED GROCERS OF THE SOUTH,,,59,Retail,,374000000,http://www.agsouth.com
ASTRONAUTICS CORPORATION OF AMERICA,,,750,Aviation and Aerospace Component Manufacturing,,217900000,http://www.astronautics.com
ATC TRAILERS,,Indiana,150,Automotive,,46772000,atctrailers.com
ATCO INDUSTRIES,,,3000,Motor Vehicle Manufacturing,,40000000,http://www.atcoindustries.com
"ATKINS & PEARCE, INC.",,Kentucky,500,textiles,,70267000,atkinsandpearce.com
ATLAS MFG.,,Minnesota,92,machinery,,63000000,atlasmfg.com
ATMOSPHERE COMMERCIAL INTERIORS,,,310,Office Furniture and Fixtures Manufacturing,,45000000,atmosphereci.com
ATOS MEDICAL,,Wisconsin,120,medical devices,,91200000,atosmedical.us
ATRICURE,,,750,Medical Equipment Manufacturing,,330400000,http://www.atricure.com
AUDIO-TECHNICA,,,310,electrical/electronic manufacturing,,30000000,http://www.audio-technica.com
AURORA PLASTICS,,,350,Plastics Manufacturing,,44100000,http://www.auroraplastics.com
AUTOCAM MEDICAL,,,750,Medical Equipment Manufacturing,,19000000,http://www.autocam-medical.com
AUTOCAR TRUCKS,,Alabama,490,Automotive,,200000000,autocartruck.com
AUTODIE,,,350,Industrial Machinery Manufacturing,,40000000,http://www.autodie-llc.com
AUTOMATIC SPRING PRODUCTS CORP.,,,350,Industrial Machinery Manufacturing,,42079000,http://www.automaticspring.com
AUTO-WARES,,,3000,Motor Vehicle Manufacturing,,75000000,http://www.autowares.com
AVANCEON,,,125,Automation Machinery Manufacturing,,54300000,http://www.avanceon.com
AVEKA,,,86,Chemical Manufacturing,,35000000,aveka.com
AVID INTERNATIONAL MOLDING SOLUTIONS,,Minnesota,63,plastics,,53000000,avidims.com
AVTRON POWER SOLUTIONS,,,69,electrical/electronic manufacturing,,31000000,http://www.avtronpower.com
AXLE LOGISTICS,,,520,Transportation/Trucking/Railroad,,130600000,http://www.axlelogistics.com
AZZUR,,,350,Pharmaceutical Manufacturing,,84500000,http://www.azzur.com
B&P LITTLEFORD,,,350,Machinery Manufacturing,,66000000,http://www.bplittleford.com
BADGER COLOR CONCENTRATES,,Wisconsin,81,plastics,,32000000,badgercolor.com
BAE INDUSTRIES,,,350,Motor Vehicle Manufacturing,,45984000,http://www.baeind.com
BAERS FURNITURE,,,360,Furniture,,185000000,http://www.baers.com
BALANCE TECHNOLOGY INC (BTI),,Michigan,96,machinery,,25000000,balancetechnology.com
"BANDIT INDUSTRIES, INC.",,Michigan,210,machinery,,300000000,banditchippers.com
BANNER ENGINEERING,,,970,Automation Machinery Manufacturing,,349999000,bannerengineering.com
BARD MANUFACTURING COMPANY,,,350,Industrial Machinery Manufacturing,,60200000,http://www.bardhvac.com
BARGAIN HUNT,,,660,Retail,,450000000,http://www.bargainhunt.com
BASCO,,,350,Consumer Goods,,85000000,http://www.bascoshowerdoor.com
BASIC FUN!,,,125,Manufacturing,,64600000,http://www.basicfun.com
BASSETT MECHANICAL,,,350,Industrial Machinery Manufacturing,,81000000,http://www.bassettmechanical.com
BATTLE MOTORS,,,125,Motor Vehicle Manufacturing,,59200000,https://battlemotors.com
BAUER BUILT INC.,,,750,Truck Transportation,,120000000,http://www.bauerbuilt.com
BECKER FURNITURE,,,130,Furniture and Home Furnishings Manufacturing,,68500000,beckerfurniture.com
BECKETT THERMAL SOLUTIONS,,,750,Industrial Machinery Manufacturing,,43400000,http://BeckettThermal.com
BEDFORD INDUSTRIES,,,170,Packaging & Containers,,81700000,bedford.com
BEHLER-YOUNG,,,350,Wholesale,,14600000,https://www.behler-young.com/
BELGIOIOSO CHEESE INC.,,,750,Dairy Product Manufacturing,,100000000,http://www.belgioioso.com
BELL INTERNATIONAL LABORATORIES,,,67,"health, wellness & fitness",,63400000,bellintlabs.com
BELL LABORATORIES,,Wisconsin,160,Mechanical Or Industrial Engineering,,94800000,belllabs.com
"BELL LABORATORIES, INC.",,,350,Manufacturing,,93700000,http://www.belllabs.com
BELMARK INC,,,3000,Printing Services,,34700000,http://www.belmark.com
BEMIS MANUFACTURING COMPANY,,,3000,Plastics Manufacturing,,417400000,http://www.BemisMfg.com
BENORE LOGISTIC,,,430,Transportation/Trucking/Railroad,,75000000,http://www.benorelogistics.com
BENSHAW,,,160,electrical/electronic manufacturing,,75000000,http://www.benshaw.com
BERGSTROM AUTOMOTIVE,,,3000,Motor Vehicle Manufacturing,,113200000,http://www.bergstromauto.com
BERK ENTERPRISES,,,125,Manufacturing,,69900000,http://www.BerkBrands.com
BESCAST,,,125,Industrial Machinery Manufacturing,,32400000,http://www.bescast.com
BESSER,,,350,Machinery Manufacturing,,5800000,http://www.besser.com
BEST LIGHTING PRODUCTS,,,125,"Appliances, Electrical, and Electronics Manufacturing",,41400000,http://www.bestlighting.net/
BETCO,,,350,Chemical Manufacturing,,47000000,https://www.betco.com
BETTCHER INDUSTRIES,,,350,Food and Beverage Manufacturing,,80000000,http://www.bettcher.com
BETTER CHOICE COMPANY,,,56,Consumer Goods,,40904000,http://www.betterchoicecompany.com
BEVCORP,,,125,Machinery Manufacturing,,85000000,http://www.bevcorp.com/
BGM ENGINEERING INC.,,Michigan,65,electrical/electronic manufacturing,,25000000,bgmeng.com
BIDFTA.COM,,,73,Retail,,35000000,http://www.bidfta.com
BIG ASS FANS,,,750,Industrial Machinery Manufacturing,,300000000,http://www.bigassfans.com
BIL-JAX,,,125,Manufacturing,,97800000,https://www.biljax.com
BIOCOAT,,Pennsylvania,73,medical devices,,31500000,biocoat.com
BIRCHWOOD FOODS,,,750,Food and Beverage Manufacturing,,142600000,http://www.bwfoods.com
BIRD,,,180,electrical/electronic manufacturing,,40000000,http://www.birdrf.com
BISCO,,,125,Medical Equipment Manufacturing,,12100000,http://www.bisco.com
BISON® AN AMETEK® BUSINESS,,,120,electrical/electronic manufacturing,,75000000,http://www.bisonametek.com
BLAIR IMAGE ELEMENTS,,Pennsylvania,120,Construction,,68400000,blairimage.com
BLAKE'S HARD CIDER,,,125,Food and Beverage Services,,35400000,http://blakeshardcider.com
BLASTONE INTERNATIONAL,,,350,Machinery Manufacturing,,200000000,http://www.blastone.com/
BLOCK IMAGING,,Michigan,190,medical devices,,25000000,blockimaging.com
BLU PRODUCTS,,,350,Telecommunications,,345000000,http://www.bluproducts.com
BLUEFLY,,,54,Retail,,85000000,http://www.bluefly.com
BLUEGRACE LOGISTICS,,,740,Transportation/Trucking/Railroad,,195900000,http://www.mybluegrace.com
BOGEN COMMUNICATIONS,,,98,electrical/electronic manufacturing,,58460000,http://www.bogen.com
BOLLMAN HAT,,,350,Textile Manufacturing,,215700000,http://www.bollmanhats.com/
BOLT EXPRESS,https://www.linkedin.com/company/366949,,178,Transportation/Trucking/Railroad,,100000000,bolt-express.com
BOOKS A MILLION,,,2300,Retail,,474100000,http://www.booksamillion.com
BOOTS & MORE,,,110,Retail,,25000000,http://www.bootsandmore.net
BORROUGHS,,,125,"Transportation, Logistics, Supply Chain and Storage",,88000000,http://www.borroughs.com
"BOSS INDUSTRIES, LLC",,Indiana,68,Machinery Manufacturing,,75000000,bossair.com
BOSTON PROPER,,,140,Apparel & Fashion,,40295000,http://www.bostonproper.com
BOUCHER AUTOMOTIVE GROUP,,,3000,Motor Vehicle Manufacturing,,185500000,http://boucher.com
BRACCO MEDICAL TECHNOLOGIES,,Minnesota,160,medical devices,,422500000,braccomedtech.com
BRADLEY CALDWELL,,,350,Wholesale,,39600000,http://www.bradleycaldwell.com
BRADLEY COMPANY,,Wisconsin,380,Building Materials,,225000000,bradleycorp.com
BRADLEY CORPORATION,,,750,Building Materials,,176300000,https://www.bradleycorp.com
BRAKE SUPPLY,,Indiana,260,machinery,,36000000,brake.com
BRAUN AMBULANCES,,,125,Motor Vehicle Manufacturing,,56300000,http://www.braunambulances.com
BRAUNABILITY,,Indiana,650,Automotive,,140000000,braunability.com
BRAZEWAY,,,3000,Industrial Machinery Manufacturing,,218100000,http://www.brazeway.com
BRENNAN,,,350,Industrial Machinery Manufacturing,,130400000,https://brennaninc.com
BRENTON ENGINEERING,,Minnesota,500,Packaging & Containers,,35000000,brentonengineering.com
BREWER COMPANY,,,125,Medical Device,,33000000,http://www.brewercompany.com
BREWSTER CHEESE,,,125,Dairy,,111900000,http://www.brewstercheese.com/
BRISKHEAT,,,140,electrical/electronic manufacturing,,85000000,http://www.briskheat.com
BROADWAY AUTOMOTIVE,,,750,Motor Vehicle Manufacturing,,37000000,http://www.broadwayautomotive.com
BROOKS INSTRUMENT,,,750,Automation Machinery Manufacturing,,94500000,http://www.brooksinstrument.com/
BROOKVILLE EQUIPMENT,,,350,Railroad Equipment Manufacturing,,61100000,http://www.brookvillecorp.com
BROWN JORDAN,,,460,Retail,,292000000,http://www.brownjordaninc.com
BRUNK INDUSTRIES,,,350,Medical Equipment Manufacturing,,30200000,https://www.brunk.com/
BRUNO INDEPENDENT LIVING AIDS,,,350,Manufacturing,,31000000,http://www.bruno.com/
BSI (BUILDING SERVICE INC.),,,125,Furniture and Home Furnishings Manufacturing,,54700000,http://www.buildingservice.com
BTD MANUFACTURING,,Minnesota,582,mining & metals,,324400000,btdmfg.com
BUCKEYE CORRUGATED,,,750,Packaging and Containers Manufacturing,,77500000,http://www.bcipkg.com
BUDDY'S HOME FURNISHINGS,,,580,Retail,,57407000,http://www.buddyrents.com
BUEHLER,,,350,Industrial Machinery Manufacturing,,40000000,https://www.buehler.com
BULLEN ULTRASONICS,,,125,Aviation and Aerospace Component Manufacturing,,51900000,http://www.bullentech.com/
BURKE PORTER,,,3000,Machinery Manufacturing,,155000000,http://www.burkeportergroup.com/
BURNETT DAIRY COOPERATIVE,,,350,Food and Beverage Manufacturing,,80300000,https://www.burnettdairy.com/
BUTECH BLISS,,,350,Machinery Manufacturing,,58900000,http://www.butechbliss.com
BUYERS PRODUCTS,,,350,Motor Vehicle Manufacturing,,85200000,http://www.buyersproducts.com
BUZZI UNICEM USA,,Pennsylvania,596,mining & metals,,352800000,buzziunicemusa.com
BWI,,,3000,Automotive,,220000000,https://www.bwigroup.com/
C&J INDUSTRIES,,,350,Plastics Manufacturing,,57000000,http://www.cjindustries.com
C&S MACHINE,,Michigan,71,Aviation & Aerospace,,26500000,candsmachine.com
"C. G. BRETTING MANUFACTURING CO., INC.",,Wisconsin,500,Machinery Manufacturing,,111000000,bretting.com
CABINETS TO GO,,,320,Retail,,39599000,http://www.cabinetstogo.com
CADILLAC PRODUCTS PACKAGING COMPANY,,Michigan,110,Packaging & Containers,,70800000,cadprod.com
CALDWELL TANKS,,Kentucky,200,Construction,,215500000,caldwelltanks.com
CALUMET ELECTRONICS,,,120,electrical/electronic manufacturing,,42975000,http://www.calumetelectronics.com
CAMACO-AMVIAN,,,3000,Motor Vehicle Manufacturing,,471100000,http://www.camacollc.com
CAMBRIDGE-LEE INDUSTRIES,,,350,Mining,,100000000,http://www.camlee.com/
CAMCO CHEMICAL,,,120,Chemical Manufacturing,,31398000,camco-chem.com
CAMPBELL HAUSFELD,,,350,Manufacturing,,84000000,http://www.campbellhausfeld.com
CAMPERS INN RV,,,510,Retail,,47000000,http://www.campersinn.com
CANBERRA,,,125,Chemical Manufacturing,,31900000,http://www.canberracorp.com
CANDLE-LITE COMPANY,,,180,Consumer Goods,,50275000,http://www.candle-lite.com
CANTON DROP FORGE,,,125,Machinery Manufacturing,,200000000,http://www.cantondropforge.com
CAPITAL RESIN CORPORATION,,,125,Chemical Manufacturing,,34100000,http://www.capitalresin.com/
"CAPS® (CENTRAL ADMIXTURE PHARMACY SERVICES, INC.)",,Pennsylvania,340,Pharmaceuticals,,28100000,capspharmacy.com
CAPSA HEALTHCARE,,,750,Medical Equipment Manufacturing,,79300000,http://www.capsahealthcare.com
CAR KEYS EXPRESS,,Kentucky,120,Automotive,,107500000,carkeysexpress.com
CARDONE INDUSTRIES,,Pennsylvania,870,Automotive,,514400000,cardone.com
"CARMA LABORATORIES, INC.",,,350,Manufacturing,,55200000,http://www.mycarmex.com
CARNEGIE ROBOTICS,,,125,Automation Machinery Manufacturing,,151300000,http://carnegierobotics.com
CARRIER VIBRATING EQUIPMENT,,,86,Industrial Machinery Manufacturing,,32000000,carriervibrating.com
"CARTER DAY INTERNATIONAL, INC.",,Minnesota,52,Machinery Manufacturing,,25800000,carterday.com
CARTON SERVICE CSI,,,350,Packaging and Containers Manufacturing,,40200000,http://www.cartonservice.com
CASCADE DIE CASTING,,,350,Automotive,,117400000,http://cascade-cdc.com
CAST NYLONS LIMITED,,,125,Plastics Manufacturing,,54000000,http://www.castnylon.com
CATTRON GLOBAL,,,52,electrical/electronic manufacturing,,37500000,http://www.cattron.com
CBT,,,350,Industrial Machinery Manufacturing,,186000000,https://cbtcompany.com
CEI NETWORK,,,350,Motor Vehicle Manufacturing,,120000000,http://www.ceinetwork.com
CEIA USA,,,125,"Appliances, Electrical, and Electronics Manufacturing",,32000000,http://www.ceia-usa.com
CELISTICS,,,800,logistics & supply chain,,31006000,http://www.celistics.com
CENTRAL HOME BRANDS,,,750,Manufacturing,,75000000,http://www.ardencompanies.com
CENTRAL MCGOWAN,,Minnesota,54,Industrial Automation,,32600000,centralmcgowan.com
CENTRAL PACKAGE & DISPLAY,,Minnesota,65,Packaging & Containers,,25400000,centralpackage.com
CERROWIRE,,,330,electrical/electronic manufacturing,,151448000,http://www.cerrowire.com
CHALLENGE MANUFACTURING,,,3000,Motor Vehicle Manufacturing,,300000000,http://www.challenge-mfg.com
CHANDLER INDUSTRIES,,,160,Aviation and Aerospace Component Manufacturing,,83400000,chandlerindustries.com
"CHANNELLOCK, INC.",,Pennsylvania,120,Mechanical Or Industrial Engineering,,25000000,channellock.com
CHAUVET,,,350,"Appliances, Electrical, and Electronics Manufacturing",,122500000,http://www.chauvetlighting.com
CHEMDESIGN,,,200,Chemical Manufacturing,,30000000,chemdesign.com
CHEMSTATION,,,350,Chemical Manufacturing,,46400000,http://www.chemstation.com/about/
CHEM-TREND,,,750,Chemical Manufacturing,,37900000,http://www.chemtrend.com
CHROMALOX,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,250000000,http://www.chromalox.com/
CHROMASCAPE,,,125,Chemical Manufacturing,,64000000,http://www.chromascape.com
CINCINNATI,,,350,Machinery Manufacturing,,40100000,http://www.e-ci.com
CIRTEC MEDICAL,,Minnesota,630,medical devices,,40000000,cirtecmed.com
CITY BREWING COMPANY,,,3000,Beverage Manufacturing,,279500000,http://www.citybrewery.com
CITY FURNITURE,,,1500,Retail,,531800000,http://www.cityfurniture.com
CLARIENCE,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,473800000,http://www.clariencetechnologies.com
"CLARION TECHNOLOGIES, INC.",,,68,plastics,,145515000,clariontechnologies.com
CLARK FIXTURES,,,125,Aviation and Aerospace Component Manufacturing,,42900000,http://www.clarkfixtures.com
CLARK OIL,,,90,Retail,,50756000,http://www.clark-oil.com
