Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
A123 SYSTEMS,https://www.linkedin.com/company/a123-systems/,,"1,001-5,000",Renewable Energy Semiconductor Manufacturing,,,http://www.a123systems.com/
AA METALS,,,201-500,Mining,,286.1M,https://www.aametals.com
AA METALS,https://linkedin.com/company/aa-metals-inc,Florida,201-500,Mining,,286.1M,https://www.aametals.com
AAMP GLOBAL,,,180,electrical/electronic manufacturing,,35000000,http://www.aampglobal.com
AAMP GLOBAL,,Florida,180,electrical/electronic manufacturing,,35000000,http://www.aampglobal.com
AARP,,,"1,001-5,000",Non-profit Organizations,,,https://www.aarp.org/
AARP,https://www.linkedin.com/company/aarp/,,"1,001-5,000",Non-profit Organizations,,,https://www.aarp.org/
ABBOTT,,,three,,,,
ABBOTT,,,"10,001+",Hospitals and Health Care,,,https://www.abbott.com/
ABBOTT,https://www.linkedin.com/company/abbott-/,,"10,001+",Hospitals and Health Care,,,https://www.abbott.com/
"ABBYLAND FOODS, INC",,,"501-1,000",Food and Beverage Manufacturing,,310M,http://www.Abbyland.com
"ABBYLAND FOODS, INC",https://linkedin.com/company/abbyland-foods-inc,Wisconsin,"501-1,000",Food and Beverage Manufacturing,,310M,http://www.Abbyland.com
"ABLENET, INC.",,Minnesota,96,medical devices,,25000000,ablenetinc.com
"ABLENET, INC.",,Minnesota,96,medical devices,+16512942200,,ablenetinc.com
"ABLENET, INC.",,Minnesota,96,medical devices,+1-952-807-2317,,ablenetinc.com
"ABLENET, INC.",,Minnesota,96,medical devices,+1-970-590-8002,,ablenetinc.com
"ABRASIVE TECHNOLOGY, LLC",,,201-500,Machinery Manufacturing,,$69.6M,https://www.abrasive-tech.com/
"ABRASIVE TECHNOLOGY, LLC",https://linkedin.com/company/abrasive-technology/,,three,Machinery Manufacturing,,,https://www.abrasive-tech.com/
"ABRASIVE TECHNOLOGY, LLC",https://linkedin.com/company/abrasive-technology/,Ohio,201-500,Machinery Manufacturing,,$69.6M,https://www.abrasive-tech.com/
ABSOLUTE MACHINE TOOLS,,,51-200,Machinery Manufacturing,,36.2M,https://www.absolutemachine.com
ABSOLUTE MACHINE TOOLS,https://linkedin.com/company/absolute-machine-tools,,nine,Machinery Manufacturing,,,https://www.absolutemachine.com
ABSOLUTE MACHINE TOOLS,https://linkedin.com/company/absolute-machine-tools,Ohio,51-200,Machinery Manufacturing,,36.2M,https://www.absolutemachine.com
ACCESS FINANCIAL GROUP,,,0,,,,https://www.afinancial.com/
ACCESS FINANCIAL GROUP,,,0,,,,https://www.afinancial.com/
ACCOUNTING TAX & TECHNOLOGY SOLUTIONS,,,one,,,,https://www.accountingtaxtechnologysolutions.com/
ACCOUNTING TAX & TECHNOLOGY SOLUTIONS,,,two,,,,https://www.accountingtaxtechnologysolutions.com/
ACCUPAC,,,"501-1,000",Manufacturing,,200M,https://www.accupac.com/
ACCUPAC,https://www.linkedin.com/company/accupac,Pennsylvania,"501-1,000",Manufacturing,,200M,https://www.accupac.com/
ACCUREX,,Wisconsin,130,machinery,,47000000,accurex.com
ACCUREX,,Wisconsin,130,machinery,+1 (800) 333-1400,,accurex.com
"ACCUTREX PRODUCTS, INC.",,Pennsylvania,73,mining & metals,,$54M,accutrex.com
"ACCUTREX PRODUCTS, INC.",,Pennsylvania,73,mining & metals,+1-412-780-8325,,accutrex.com
"ACCUTREX PRODUCTS, INC.",,Pennsylvania,73,mining & metals,"+1-724-746-4300,+1-724-493-9313",,accutrex.com
ACE DORAN HAULING & RIGGING,https://www.linkedin.com/company/16194936,Kentucky,59,Transportation/Trucking/Railroad,,10000000,acedoran.com
ACE DORAN HAULING & RIGGING,https://www.linkedin.com/company/16194936,Ohio,59,Transportation/Trucking/Railroad,,10000000,acedoran.com
ACE PRECISION MACHINING,,,201-500,Aviation & Aerospace,,46.9M,http://www.aceprecision.com
ACE PRECISION MACHINING,https://linkedin.com/company/ace-precision-machining,Wisconsin,201-500,Aviation & Aerospace,,46.9M,http://www.aceprecision.com
ACIST MEDICAL SYSTEMS,,,335,medical devices,,200000000,acist.com
ACIST MEDICAL SYSTEMS,,Minnesota,335,medical devices,,200000000,acist.com
ACME CRYOGENICS,,,79,Industrial Machinery Manufacturing,,70000000,acmecryo.com
ACME CRYOGENICS,,Pennsylvania,79,Industrial Machinery Manufacturing,,70000000,acmecryo.com
ACME MANUFACTURING,,,51-200,Automation Machinery Manufacturing,,42.5M,https://www.acmemfg.com
ACME MANUFACTURING,https://linkedin.com/company/acmemfg,Michigan,51-200,Automation Machinery Manufacturing,,42.5M,https://www.acmemfg.com
"ACOUST-A-FIBER, INC.",,,"501-1,000",Motor Vehicle Manufacturing,,,http://www.mwaaf.com/
"ACOUST-A-FIBER, INC.",https://linkedin.com/company/acoust-a-fiber/,Ohio,"501-1,000",Motor Vehicle Manufacturing,,,http://www.mwaaf.com/
ACS - ENGINEER. INTEGRATE. BUILD.,,Wisconsin,99,Construction,,$75.5M,acscm.com
ACS - ENGINEER. INTEGRATE. BUILD.,,Wisconsin,99,Construction,+18002485391,,acscm.com
ACS GROUP,,,"501-1,000",Machinery Manufacturing,,33.8M,http://www.acscorporate.com
ACS GROUP,https://linkedin.com/company/acs-group_2,Wisconsin,"501-1,000",Machinery Manufacturing,,33.8M,http://www.acscorporate.com
ACTIA CORPORATION,,Indiana,81,electrical/electronic manufacturing,,26000000,actiaus.com
ACTIA CORPORATION,,Indiana,81,electrical/electronic manufacturing,,,actiaus.com
ACTS XXIX,,,8,Religious Institutions,,,https://www.actsxxix.org/
ACTS XXIX,https://www.linkedin.com/company/acts-xxix/,,8,Religious Institutions,,,https://www.actsxxix.org/
ACUMENT GLOBAL TECHNOLOGIES - NORTH AMERICA,,Michigan,890,Automotive,,139000000,fontanagruppoagtna.com
ACUMENT GLOBAL TECHNOLOGIES - NORTH AMERICA,,Michigan,890,Automotive,,,fontanagruppoagtna.com
ACUTEC PRECISION AEROSPACE,,,201-500,Aviation and Aerospace Component Manufacturing,,42M,http://www.acutecprecision.com/
ACUTEC PRECISION AEROSPACE,https://www.linkedin.com/company/2107190,Pennsylvania,201-500,Aviation and Aerospace Component Manufacturing,,42M,http://www.acutecprecision.com/
ADAC,,Michigan,632,Automotive,,352700000,adacautomotive.com
ADAC,,Michigan,632,Automotive,,,adacautomotive.com
ADALET,,,230,electrical/electronic manufacturing,,43999000,http://www.adalet.com
ADALET,,Ohio,230,electrical/electronic manufacturing,,43999000,http://www.adalet.com
ADCO CIRCUITS,,,61,"Appliances, Electrical, and Electronics Manufacturing",,27900000,adcocircuits.com
ADCO CIRCUITS,,Michigan,61,"Appliances, Electrical, and Electronics Manufacturing",,27900000,adcocircuits.com
ADHESIVES RESEARCH,,,201-500,Chemical Manufacturing,,107.5M,https://www.adhesivesresearch.com/
ADHESIVES RESEARCH,https://www.linkedin.com/company/48179,Pennsylvania,201-500,Chemical Manufacturing,,107.5M,https://www.adhesivesresearch.com/
ADKEV,,Indiana,130,plastics,,98200000,adkev.com
ADKEV,,Indiana,130,plastics,,,adkev.com
ADRIAN STEEL,,,51-200,Motor Vehicle Manufacturing,,52M,http://www.adriansteel.com
ADRIAN STEEL,https://www.linkedin.com/company/adrian-steel,,six,Motor Vehicle Manufacturing,,,http://www.adriansteel.com
ADRIAN STEEL,https://www.linkedin.com/company/adrian-steel,Michigan,51-200,Motor Vehicle Manufacturing,,52M,http://www.adriansteel.com
AD-TECH MEDICAL INSTRUMENT CORPORATION,,Wisconsin,66,medical devices,,28000000,adtechmedical.com
AD-TECH MEDICAL INSTRUMENT CORPORATION,,Wisconsin,66,medical devices,"+1-262-930-2816,+1-262-930-6836",,adtechmedical.com
AD-TECH MEDICAL INSTRUMENT CORPORATION,,Wisconsin,66,medical devices,"+1-281-384-4946,+1-281-923-7369",,adtechmedical.com
AD-TECH MEDICAL INSTRUMENT CORPORATION,,Wisconsin,66,medical devices,+1-414-339-9572,,adtechmedical.com
"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,,25000000,advanceturning.com
"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,+1-517-745-0879,,advanceturning.com
"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,+15177832713,,advanceturning.com
"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,+1-517-795-2327,,advanceturning.com
"ADVANCE TURNING & MANUFACTURING, INC.",,Michigan,65,medical devices,+1-517-902-1511,,advanceturning.com
ADVANCED BUSINESS EQUIPMENT,,,11-50,Retail Office Equipment,,,https://www.abecarolina.com/
ADVANCED BUSINESS EQUIPMENT,https://www.linkedin.com/company/advanced-business-equipment/,,11-50,Retail Office Equipment,,,https://www.abecarolina.com/
ADVANCED POLYMER COATINGS,,,51-200,Chemical Manufacturing,,35.5M,http://www.adv-polymer.com
ADVANCED POLYMER COATINGS,https://www.linkedin.com/company/561900,Ohio,51-200,Chemical Manufacturing,,35.5M,http://www.adv-polymer.com
ADVANTEK,,,"501-1,000",Semiconductor Manufacturing,,,https://www.advantek.com/
ADVANTEK,https://www.linkedin.com/company/advantek/,,"501-1,000",Semiconductor Manufacturing,,,https://www.advantek.com/
ADVICE4BUSINESS,,,2-10,Business Consulting and Services,,,https://www.advice4businessne.com/
ADVICE4BUSINESS,https://www.linkedin.com/company/advice4business-ne/,,ten,Business Consulting and Services,,,https://www.advice4businessne.com/
ADVICE4BUSINESS,https://www.linkedin.com/company/advice4business-ne/,,2-10,Business Consulting and Services,,,https://www.advice4businessne.com/
ADVICS MANUFACTURING OHIO,,,"501-1,000",Motor Vehicle Manufacturing,,40M,http://www.advics-ohio.com
ADVICS MANUFACTURING OHIO,https://www.linkedin.com/company/6618074,Ohio,"501-1,000",Motor Vehicle Manufacturing,,40M,http://www.advics-ohio.com
ADVICS NORTH AMERICA,,,"1,001-5,000",Motor Vehicle Manufacturing,,188.2M,http://www.advics-na.com
ADVICS NORTH AMERICA,https://www.linkedin.com/company/151098,Ohio,"1,001-5,000",Motor Vehicle Manufacturing,,188.2M,http://www.advics-na.com
AERO MARK INC,,,2,Airlines/aviation,,,https://www.aeromark.com/
AERO MARK INC,http://www.linkedin.com/company/aeromark-inc,,2,Airlines/aviation,,,https://www.aeromark.com/
AERO METALS INC.,,,69,"Agriculture, Construction, Mining Machinery Manufacturing",,45000000,aerometals.com
AERO METALS INC.,,Indiana,69,"Agriculture, Construction, Mining Machinery Manufacturing",,45000000,aerometals.com
AEROSTAR (AEROSTAR INTERNATIONAL LLC),,,170,Defense and Space Manufacturing,,25000000,aerostar.com
AEROSTAR (AEROSTAR INTERNATIONAL LLC),,South Dakota,170,Defense and Space Manufacturing,,25000000,aerostar.com
AEROSTAR MANUFACTURING,,Michigan,60,mining & metals,,$27.3M,aerostarmfg.com
AEROSTAR MANUFACTURING,,Michigan,60,mining & metals,+1-716-510-5885,,aerostarmfg.com
AEROSTAR MANUFACTURING,,Michigan,60,mining & metals,+17349420615,,aerostarmfg.com
AEROTECH,,,201-500,Automation Machinery Manufacturing,,117.8M,http://www.aerotech.com
AEROTECH,https://www.linkedin.com/company/40062,Pennsylvania,201-500,Automation Machinery Manufacturing,,117.8M,http://www.aerotech.com
AFC INDUSTRIES,,,190,logistics & supply chain,,400000000,http://www.afcind.com
AFC INDUSTRIES,,Ohio,190,logistics & supply chain,,400000000,http://www.afcind.com
AFC-HOLCROFT,,Michigan,85,machinery,,36500000,afc-holcroft.com
AFC-HOLCROFT,,Michigan,85,machinery,+1 (734) 459-9850,,afc-holcroft.com
AFLAC,,,19000,Insurance,,,https://www.aflac.com/
AFLAC,http://www.linkedin.com/company/aflac,,19000,Insurance,,,https://www.aflac.com/
AG CONTAINER TRANSPORT,https://www.linkedin.com/company/ag-container-transport-llc,,five,Transportation/Trucking/Railroad,,,cmhdray.com
AG CONTAINER TRANSPORT,https://www.linkedin.com/company/ag-container-transport-llc,Ohio,200,Transportation/Trucking/Railroad,,50000000,cmhdray.com
AGI,,,201-500,Defense and Space Manufacturing,,58M,https://www.agi.com
AGI,https://www.linkedin.com/company/7853,Pennsylvania,201-500,Defense and Space Manufacturing,,58M,https://www.agi.com
AGRA INDUSTRIES,,Wisconsin,190,Construction,,184600000,agraind.com
AGRA INDUSTRIES,,Wisconsin,190,Construction,+17155369584,,agraind.com
AH GROUP OF COMPANIES,,Michigan,500,machinery,,44500000,ahgroupna.com
AH GROUP OF COMPANIES,,Michigan,500,machinery,+1 (877) 983-4230,,ahgroupna.com
AHAUS TOOL & ENGINEERING,,Indiana,60,machinery,,27200000,ahaus.com
AHAUS TOOL & ENGINEERING,,Indiana,60,machinery,+17659623571,,ahaus.com
AHRESTY WILMINGTON,,,"501-1,000",Motor Vehicle Manufacturing,,63.3M,http://www.ahresty.com/
AHRESTY WILMINGTON,https://www.linkedin.com/company/1569957,Ohio,"501-1,000",Motor Vehicle Manufacturing,,63.3M,http://www.ahresty.com/
AIDA-AMERICA,,,201-500,Machinery Manufacturing,,40.3M,http://www.aida-america.com
AIDA-AMERICA,https://linkedin.com/company/aida-america,,nine,Machinery Manufacturing,,,http://www.aida-america.com
AIDA-AMERICA,https://linkedin.com/company/aida-america,Ohio,201-500,Machinery Manufacturing,,40.3M,http://www.aida-america.com
AIDA-AMERICA,https://www.linkedin.com/company/aida-america,Ohio,201,machinery,,50000000,aida-america.com
AIR HYDRO POWER,,Kentucky,170,Industrial Automation,,100000000,airhydropower.com
AIR HYDRO POWER,,Kentucky,170,Industrial Automation,,,airhydropower.com
AIRLINE HYDRAULICS,,,201-500,Industrial Automation,,30M,https://www.airlinehyd.com/
AIRLINE HYDRAULICS,https://www.linkedin.com/company/543132,Pennsylvania,201-500,Industrial Automation,,30M,https://www.airlinehyd.com/
AIRSTREAM,,,"501-1,000",Motor Vehicle Manufacturing,,375M,http://www.airstream.com
AIRSTREAM,https://linkedin.com/company/airstream,Ohio,"501-1,000",Motor Vehicle Manufacturing,,375M,http://www.airstream.com
AIR-WAY GLOBAL MANUFACTURING COMPANY,,Michigan,91,Construction,,$190.1M,air-way.com
AIR-WAY GLOBAL MANUFACTURING COMPANY,,Michigan,91,Construction,,,air-way.com
AIR-WAY GLOBAL MANUFACTURING COMPANY,,Michigan,91,Construction,+1-517-232-5658,,air-way.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,,$274.1M,ajaxpaving.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,+12482443300,,ajaxpaving.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,+1-715-927-0324,,ajaxpaving.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,+1-941-518-9407,,ajaxpaving.com
AJAX PAVING INDUSTRIES,,Florida,170,Construction,+1-941-650-4895,,ajaxpaving.com
AKKERMAN - UNDERGROUND CONSTRUCTION EQUIPMENT MANUFACTURER,,Minnesota,54,machinery,,25000000,akkerman.com
AKKERMAN - UNDERGROUND CONSTRUCTION EQUIPMENT MANUFACTURER,,Minnesota,54,machinery,+1 (800) 533-0386,,akkerman.com
AKROCHEM,,,51-200,Chemical Manufacturing,,38.7M,http://www.akrochem.com
AKROCHEM,https://www.linkedin.com/company/4018494,Ohio,51-200,Chemical Manufacturing,,38.7M,http://www.akrochem.com
AKRO-MILS,,,201-500,Plastics Manufacturing,,50M,http://www.akro-mils.com
AKRO-MILS,https://linkedin.com/company/akro-mils,Ohio,201-500,Plastics Manufacturing,,50M,http://www.akro-mils.com
ALABAMA OUTDOORS,,,61,Retail,,33915000,http://www.alabamaoutdoors.com
ALABAMA OUTDOORS,,Alabama,61,Retail,,33915000,http://www.alabamaoutdoors.com
ALABAMA PORT AUTHORITY,,,170,Maritime,,,https://www.alports.com/
ALABAMA PORT AUTHORITY,http://www.linkedin.com/company/alabama-port-authority,,170,Maritime,,,https://www.alports.com/
ALABAMA TECHNOLOGY NETWORK,,,51-200,Professional Training and Coaching,,,https://www.atn.org/
ALABAMA TECHNOLOGY NETWORK,https://www.linkedin.com/company/alabama-technology-network/,,51-200,Professional Training and Coaching,,,https://www.atn.org/
ALARNG,,,six,,,,https://al.ng.mil/
ALARNG,,,seven,,,,https://al.ng.mil/
ALBAWANI,,,"10,001+",Construction,,,https://www.albawani.net/
ALBAWANI,https://www.linkedin.com/company/albawani/,,seven,Construction,,,https://www.albawani.net/
ALBAWANI,https://www.linkedin.com/company/albawani/,,"10,001+",Construction,,,https://www.albawani.net/
ALECTRA,,,"1,001-5,000",Utilities,,,https://www.alectra.com/
ALECTRA,https://www.linkedin.com/company/alectra/,,"1,001-5,000",Utilities,,,https://www.alectra.com/
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,,$155.3M,alexandriaindustries.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,+1-320-304-2883,,alexandriaindustries.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,+1-320-491-2127,,alexandriaindustries.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,"+1-320-492-9238,+1-320-760-3759",,alexandriaindustries.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,+1-612-554-1269,,alexandriaindustries.com
ALEXANDRIA INDUSTRIES,,Minnesota,210,mining & metals,+18005686601,,alexandriaindustries.com
ALKON,,,51-200,Machinery Manufacturing,,45M,http://www.alkoncorp.com
ALKON,https://www.linkedin.com/company/1367491,Ohio,51-200,Machinery Manufacturing,,45M,http://www.alkoncorp.com
ALL FIBER & SCRAP RECYCLING,,,two,,,,http://afsrecycling.com/
ALL FIBER & SCRAP RECYCLING,,,nine,,,,http://afsrecycling.com/
ALL FLORIDA PAPER,,,88,logistics & supply chain,,30132000,http://www.allfloridapaper.com
ALL FLORIDA PAPER,,Florida,88,logistics & supply chain,,30132000,http://www.allfloridapaper.com
ALLEGHENY BRADFORD CORPORATION,,Pennsylvania,93,machinery,,37500000,alleghenybradford.com
ALLEGHENY BRADFORD CORPORATION,,Pennsylvania,93,machinery,+1 (814) 362-2590,,alleghenybradford.com
ALLEGIS CORPORATION,,,97,Mechanical Or Industrial Engineering,,228900000,allegiscorp.com
ALLEGIS CORPORATION,,Minnesota,97,Mechanical Or Industrial Engineering,,228900000,allegiscorp.com
ALL-FILL,,Pennsylvania,93,Packaging & Containers,,25000000,all-fill.com
ALL-FILL,,Pennsylvania,93,Packaging & Containers,,,all-fill.com
ALLIANCE INDUSTRIES INC.,https://www.linkedin.com/company/alliance-industries-inc.,,eight,machinery,,,allianceindustries.com
ALLIANCE INDUSTRIES INC.,https://www.linkedin.com/company/alliance-industries-inc.,Ohio,192,machinery,,100000000,allianceindustries.com
ALLIANCE PHARMA,,,201-500,Pharmaceutical Manufacturing,,32M,http://www.alliancepharmaco.com/
ALLIANCE PHARMA,https://www.linkedin.com/company/9355645,Pennsylvania,201-500,Pharmaceutical Manufacturing,,32M,http://www.alliancepharmaco.com/
ALLIANCEBERNSTEIN,,,one,,,,
ALLIANCEBERNSTEIN,,,"1,001-5,000 employees",Financial Services,,,https://www.alliancebernstein.com/
ALLIANT POWER,,Wisconsin,88,Automotive,,34600000,alliantpower.com
ALLIANT POWER,,Wisconsin,88,Automotive,+16088425100,,alliantpower.com
"ALLIANT TECHNOLOGIES, LLC",,,73,Automation Machinery Manufacturing,,39761000,alliantechnologies.com
"ALLIANT TECHNOLOGIES, LLC",,Kentucky,73,Automation Machinery Manufacturing,,39761000,alliantechnologies.com
ALLIANZ,,,155000,Financial Services,,,https://tech.allianz.com/
ALLIANZ,https://www.linkedin.com/company/allianz-technology/,,155000,Financial Services,,,https://tech.allianz.com/
ALLIED MACHINE & ENGINEERING,,,201-500,Machinery Manufacturing,,93.8M,http://www.alliedmachine.com
ALLIED MACHINE & ENGINEERING,https://www.linkedin.com/company/72279,Ohio,201-500,Machinery Manufacturing,,93.8M,http://www.alliedmachine.com
ALLIED MINERAL PRODUCTS,,,"1,001-5,000","Glass, Ceramics and Concrete Manufacturing",,,http://www.alliedmineral.com
ALLIED MINERAL PRODUCTS,https://www.linkedin.com/company/allied-mineral-products/about/,,"1,001-5,000","Glass, Ceramics and Concrete Manufacturing",,,http://www.alliedmineral.com
ALLIED MOULDED PRODUCTS,,,180,electrical/electronic manufacturing,,40000000,http://www.alliedmoulded.com
ALLIED MOULDED PRODUCTS,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,40M,http://www.alliedmoulded.com
ALLIED MOULDED PRODUCTS,,Ohio,180,electrical/electronic manufacturing,,40000000,http://www.alliedmoulded.com
ALLIED MOULDED PRODUCTS,https://www.linkedin.com/company/800832,Ohio,201-500,"Appliances, Electrical, and Electronics Manufacturing",,40M,http://www.alliedmoulded.com
"ALLIED PLASTICS, LLC",,,201-500,Plastics Manufacturing,,45.1M,http://www.alliedplastics.com
"ALLIED PLASTICS, LLC",https://linkedin.com/company/alliedplastics,Wisconsin,201-500,Plastics Manufacturing,,45.1M,http://www.alliedplastics.com
ALLIED WIRE & CABLE,,,200,electrical/electronic manufacturing,,75000000,http://www.awcwire.com
ALLIED WIRE & CABLE,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,75M,https://www.awcwire.com
ALLIED WIRE & CABLE,https://www.linkedin.com/company/220868,,four,"Appliances, Electrical, and Electronics Manufacturing",,,https://www.awcwire.com
ALLIED WIRE & CABLE,https://www.linkedin.com/company/220868,Pennsylvania,201-500,"Appliances, Electrical, and Electronics Manufacturing",,75M,https://www.awcwire.com
ALLINA HEALTH,,,"10,001+",Hospitals and Health Care,,,https://www.allinahealth.org/
ALLINA HEALTH,https://www.linkedin.com/company/allina-health/,,"10,001+",Hospitals and Health Care,,,https://www.allinahealth.org/
ALLNEX,,,"1,001-5,000",Chemical Manufacturing,,,http://www.allnex.com/
ALLNEX,https://www.linkedin.com/company/allnex/,,"1,001-5,000",Chemical Manufacturing,,,http://www.allnex.com/
ALLYALIGN HEALTH,,,51-200,Hospitals and Health Care,,,https://www.allyalign.com/
ALLYALIGN HEALTH,https://www.linkedin.com/company/allyalign-health/,,51-200,Hospitals and Health Care,,,https://www.allyalign.com/
"ALMANZA, BLACKBURN, DICKIE & MITCHELL LLP",,,three,,,,
"ALMANZA, BLACKBURN, DICKIE & MITCHELL LLP",,,11-50,Legal Services,,,http://www.abdmlaw.com/
"ALMANZA, BLACKBURN, DICKIE & MITCHELL LLP",https://www.linkedin.com/company/almanza-blackburn-&-dickie-llp/,,11-50,Legal Services,,,http://www.abdmlaw.com/
ALPHA IMAGING,,,51-200,Medical Equipment Manufacturing,,98.9M,http://www.alpha-imaging.com
ALPHA IMAGING,https://www.linkedin.com/company/1153713,Ohio,51-200,Medical Equipment Manufacturing,,98.9M,http://www.alpha-imaging.com
ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,,62000000,alphasourcegroup.com
ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,+12015418700,,alphasourcegroup.com
ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,+1-414-336-6754,,alphasourcegroup.com
ALPHA SOURCE GROUP,,Wisconsin,360,medical devices,+1-513-504-5659,,alphasourcegroup.com
"ALPHA SOURCE, INC.",,,201-500,Medical Equipment Manufacturing,,39.1M,http://www.alphasource.com
"ALPHA SOURCE, INC.",,Wisconsin,57,medical devices,,50000000,alphasource.com
"ALPHA SOURCE, INC.",,Wisconsin,57,medical devices,+12015418700,,alphasource.com
"ALPHA SOURCE, INC.",,Wisconsin,57,medical devices,+1-262-598-1766,,alphasource.com
"ALPHA SOURCE, INC.",,Wisconsin,57,medical devices,+1-815-329-8301,,alphasource.com
"ALPHA SOURCE, INC.",https://linkedin.com/company/alpha-source-inc-,Wisconsin,201-500,Medical Equipment Manufacturing,,39.1M,http://www.alphasource.com
ALTAPOINTE HEALTH SYSTEMS,,,"1,001-5,000",Hospitals and Health Care,,,https://altapointe.org/
ALTAPOINTE HEALTH SYSTEMS,,,650,Hospital & Health Care,,,https://altapointe.org/
ALTAPOINTE HEALTH SYSTEMS,http://www.linkedin.com/company/altapointe-health,,650,Hospital & Health Care,,,https://altapointe.org/
ALTAPOINTE HEALTH SYSTEMS,https://www.linkedin.com/company/altapointe-health/,,"1,001-5,000",Hospitals and Health Care,,,https://altapointe.org/
ALTAWORX,,,30,Telecommunications,,,https://www.altaworx.com/
ALTAWORX,https://www.linkedin.com/company/altaworx/,,30,Telecommunications,,,https://www.altaworx.com/
ALTERED STATE,,,1600,Retail,,250000000,http://www.altardstate.com
ALTERED STATE,,Tennessee,1600,Retail,,250000000,http://www.altardstate.com
ALTRON AUTOMATION,,,88,Industrial Machinery Manufacturing,,64684000,altronautomation.com
ALTRON AUTOMATION,,Michigan,88,Industrial Machinery Manufacturing,,64684000,altronautomation.com
ALVITA CARE,,,51-200,Individual and Family Services,,,https://alvitacare.com/
ALVITA CARE,https://www.linkedin.com/company/alvita-care/,,51-200,Individual and Family Services,,,https://alvitacare.com/
AM GENERAL,,Indiana,960,Defense & Space,,230000000,amgeneral.com
AM GENERAL,,Indiana,960,Defense & Space,,,amgeneral.com
AMAZON WEB SERVICES,,,"10,001+",IT Services and IT Consulting,,,https://aws.amazon.com/
AMAZON WEB SERVICES,https://www.linkedin.com/company/amazon-web-services/,,"10,001+",IT Services and IT Consulting,,,https://aws.amazon.com/
